"geolcode","class","abbreviation","de","de_description","fr","fr_description","it","it_description","en","en_description","color","pattern","tree"
15200145,"vlit500",,,,,,,,"«Rhötton»",,"205,140,85",,"15200163.15200143.15200613.15200144.15200145"
15200462,"vlit500",,,,,,,,"«Arenicolites-Bank»",,"205,140,85",,"15200163.15200143.15200613.15200144.15200145.15200462"
15200146,"vlit500",,,,,,,,"«Plattensandstein»",,"205,140,85",,"15200163.15200143.15200613.15200144.15200146"
15200147,"vlit500",,,,,,,,"«Karneol-Horizont»",,"205,140,85",,"15200163.15200143.15200613.15200144.15200147"
15200179,"vlit500",,,,,,,,"«Vogesen-Sandstein",,"205,140,85",,"15200163.15200143.15200613.15200144.15200179"
15200463,"vlit500",,,,,,,,"Diagonalschichtiger Sandstein",,"205,140,85",,"15200163.15200143.15200613.15200144.15200463"
15200221,"vlit500",,,,,,,,"Permo-Karbon der NW-Schweiz",,"200,115,80",,"15200221"
15200168,"vlit500",,,,,,,,"Spät- bis postvariszische Sedimente und Vulkanite der NW-Schweiz",,"200,115,80",,"15200221.15200168"
15200614,"vlit500",,,,,,,,"Postvariszische Sedimente und Vulkanite der NW-Schweiz",,"200,115,80",,"15200221.15200168.15200614"
15200157,"vlit500",,,,,,,,"Wiesental-Formation",,"215,110,70",,"15200221.15200168.15200614.15200157"
15200158,"vlit500",,,,,,,,"Weitenau-Formation",,"185,125,90",,"15200221.15200168.15200614.15200158"
15200217,"vlit500",,,,,,,,"«Oberer Schuttfächer»",,"185,125,90",,"15200221.15200168.15200614.15200158.15200217"
15200218,"vlit500",,,,,,,,"«Playa-Serie»",,"185,125,90",,"15200221.15200168.15200614.15200158.15200218"
15200219,"vlit500",,,,,,,,"«Unterer Schuttfächer»",,"185,125,90",,"15200221.15200168.15200614.15200158.15200219"
15200615,"vlit500",,,,,,,,"Spätvariszische Sedimente und Vulkanite der NW-Schweiz",,"165,185,165",,"15200221.15200168.15200615"
15200159,"vlit500",,,,,,,,"Weiach-Formation",,"165,185,165",,"15200221.15200168.15200615.15200159"
15200226,"vlit500",,,,,,,,"«Jüngere Flussablagerungen»",,"165,185,165",,"15200221.15200168.15200615.15200159.15200226"
15200227,"vlit500",,,,,,,,"«Seeablagerungen»",,"165,185,165",,"15200221.15200168.15200615.15200159.15200227"
15200228,"vlit500",,,,,,,,"«Ältere Flussablagerungen»",,"165,185,165",,"15200221.15200168.15200615.15200159.15200228"
15200229,"vlit500",,,,,,,,"«Kohle-Serie»",,"165,185,165",,"15200221.15200168.15200615.15200159.15200228.15200229"
15200254,"vlit500",,,,,,,,"Molasse",,"250,250,75",,"15200254"
15200255,"vlit500",,,,,,,,"Obere Süsswassermolasse (OSM)",,"255,230,180",,"15200254.15200255"
15200262,"vlit500",,,,,,,,"OSM-II",,"255,230,195",,"15200254.15200255.15200262"
15200274,"vlit500",,,,,,,,"Glimmersand-Formation",,"255,230,195",,"15200254.15200255.15200262.15200274"
15200499,"vlit500",,,,,,,,"Brand-Herrentisch-Tuffit",,"110,140,120",,"15200254.15200255.15200262.15200274.15200499"
15200500,"vlit500",,,,,,,,"Wangen-Tuffit",,"110,140,120",,"15200254.15200255.15200262.15200274.15200500"
15200501,"vlit500",,,,,,,,"Hohenolber-Tuffit",,"110,140,120",,"15200254.15200255.15200262.15200274.15200501"
15200502,"vlit500",,,,,,,,"Eichbol-Tuffit",,"110,140,120",,"15200254.15200255.15200262.15200274.15200502"
15200276,"vlit500",,,,,,,,"«Uetliberg-Schichten»",,"255,230,195",,"15200254.15200255.15200262.15200276"
15200277,"vlit500",,,,,,,,"Uetliberggipfel-Nagelfluh",,"255,230,195",,"15200254.15200255.15200262.15200276.15200277"
15200278,"vlit500",,,,,,,,"Uetliberg-Mergel",,"255,230,195",,"15200254.15200255.15200262.15200276.15200278"
15200590,"vlit500",,,,,,,,"Loorenkopf-Nagelfluh",,"255,230,195",,"15200254.15200255.15200262.15200276.15200590"
15200280,"vlit500",,,,,,,,"Pfannenstiel-Schichten",,"255,230,195",,"15200254.15200255.15200262.15200280"
15200279,"vlit500",,,,,,,,"«Falätschen-Mergel»",,"255,230,195",,"15200254.15200255.15200262.15200280.15200279"
15200281,"vlit500",,,,,,,,"«Zürich-Schichten»",,"255,230,195",,"15200254.15200255.15200262.15200281"
15200275,"vlit500",,,,,,,,"Fellitobel-Süsswasserkalk",,"210,220,230",,"15200254.15200255.15200262.15200281.15200275"
15200282,"vlit500",,,,,,,,"Leimbach-Bentonit",,"240,220,220",,"15200254.15200255.15200262.15200281.15200282"
15200283,"vlit500",,,,,,,,"Rütschlibach-Riedhof-Süsswasserkalk",,"210,220,230",,"15200254.15200255.15200262.15200281.15200283"
15200284,"vlit500",,,,,,,,"Winterthur-Bentonit",,"240,220,220",,"15200254.15200255.15200262.15200281.15200284"
15200285,"vlit500",,,,,,,,"Aeugstertal-Bentonit",,"240,220,220",,"15200254.15200255.15200262.15200281.15200285"
15200620,"vlit500",,,,,,,,"«Limnischer Leithorizont»",,"210,220,230",,"15200254.15200255.15200262.15200281.15200620"
15200286,"vlit500",,,,,,,,"Äntlisberg-Doldertobel-Süsswasserkalk",,"210,220,230",,"15200254.15200255.15200262.15200281.15200620.15200286"
15200287,"vlit500",,,,,,,,"Wehrenbach-Höckler-Süsswasserkalk",,"210,220,230",,"15200254.15200255.15200262.15200281.15200620.15200287"
15200290,"vlit500",,,,,,,,"Appenzellergranit-Leitniveau",,"255,230,180",,"15200254.15200255.15200262.15200290"
15200291,"vlit500",,,,,,,,"Abtwil-Konglomerat",,"255,230,180",,"15200254.15200255.15200262.15200290.15200291"
15200292,"vlit500",,,,,,,,"Hüllistein-Konglomerat",,"255,230,180",,"15200254.15200255.15200262.15200290.15200292"
15200293,"vlit500",,,,,,,,"Degersheim-Kalknagelfluh",,"255,230,180",,"15200254.15200255.15200262.15200290.15200293"
15200294,"vlit500",,,,,,,,"Meilen-Kalk",,"255,230,180",,"15200254.15200255.15200262.15200290.15200294"
15200297,"vlit500",,,,,,,,"Hörnli-Formation",,"255,230,195",,"15200254.15200255.15200262.15200297"
15200267,"vlit500",,,,,,,,"Hörnligipfel-Nagelfluh",,"255,230,195",,"15200254.15200255.15200262.15200297.15200267"
15200268,"vlit500",,,,,,,,"Höchegg-Brekzie",,"255,230,195",,"15200254.15200255.15200262.15200297.15200267.15200268"
15200269,"vlit500",,,,,,,,"Hörnligubel-Mergel",,"255,230,195",,"15200254.15200255.15200262.15200297.15200269"
15200270,"vlit500",,,,,,,,"Tösswald-Schichten",,"255,230,195",,"15200254.15200255.15200262.15200297.15200270"
15200272,"vlit500",,,,,,,,"Öhningen-Zone im Hörnligebiet",,"255,230,195",,"15200254.15200255.15200262.15200297.15200272"
15200273,"vlit500",,,,,,,,"Krinau-Schichten",,"255,230,195",,"15200254.15200255.15200262.15200297.15200273"
15200506,"vlit500",,,,,,,,"Seerücken-Tuffit",,"110,140,120",,"15200254.15200255.15200262.15200297.15200506"
15200503,"vlit500",,,,,,,,"Öhningen-Formation",,"255,230,195",,"15200254.15200255.15200262.15200503"
15200271,"vlit500",,,,,,,,"Bischofzell-Bentonit",,"240,220,220",,"15200254.15200255.15200262.15200503.15200271"
15200504,"vlit500",,,,,,,,"Öhningen-Süsswasserkalk",,"210,220,230",,"15200254.15200255.15200262.15200503.15200504"
15200505,"vlit500",,,,,,,,"Ramschwag-Nagelfluh",,"255,230,195",,"15200254.15200255.15200262.15200503.15200505"
15200507,"vlit500",,,,,,,,"Meilen-Schichten",,"255,230,195",,"15200254.15200255.15200262.15200507"
15200288,"vlit500",,,,,,,,"Küsnacht-Bentonit",,"240,220,220",,"15200254.15200255.15200262.15200507.15200288"
15200289,"vlit500",,,,,,,,"Urdorf-Bentonit",,"240,220,220",,"15200254.15200255.15200262.15200507.15200289"
15200508,"vlit500",,,,,,,,"Wulp-Rotzone",,"255,230,195",,"15200254.15200255.15200262.15200507.15200508"
15200295,"vlit500",,,,,,,,"OSM-I",,"255,225,165",,"15200254.15200255.15200295"
15200296,"vlit500",,,,,,,,"Lichtensteig-Formation",,"255,225,165",,"15200254.15200255.15200295.15200296"
15200298,"vlit500",,,,,,,,"Guggershorn-Formation",,"255,225,165",,"15200254.15200255.15200295.15200298"
15200509,"vlit500",,,,,,,,"Käpfnach-Formation",,"255,225,165",,"15200254.15200255.15200295.15200509"
15200299,"vlit500",,,,,,,,"Horgen-Käpfnach-Süsswasserkalk",,"210,220,230",,"15200254.15200255.15200295.15200509.15200299"
15200566,"vlit500",,,,,,,,"Haldenhof-Mergel",,"255,225,165",,"15200254.15200255.15200295.15200566"
15200300,"vlit500",,,,,,,,"OSM-J",,"255,235,190",,"15200254.15200255.15200300"
15200301,"vlit500",,,,,,,,"Bois-de-Raube-Formation",,"255,235,190",,"15200254.15200255.15200300.15200301"
15200384,"vlit500",,,,,,,,"Ajoie-Member",,"255,235,190",,"15200254.15200255.15200300.15200301.15200384"
15200385,"vlit500",,,,,,,,"Bois-de-Raube-Member",,"255,235,190",,"15200254.15200255.15200300.15200301.15200385"
15200386,"vlit500",,,,,,,,"Montchaibeux-Member",,"255,235,190",,"15200254.15200255.15200300.15200301.15200386"
15200302,"vlit500",,,,,,,,"Juranagelfluh s.l.",,"255,235,190",,"15200254.15200255.15200300.15200302"
15200395,"vlit500",,,,,,,,"Laufen-Juranagelfluh",,"255,235,190",,"15200254.15200255.15200300.15200302.15200395"
15200396,"vlit500",,,,,,,,"Basler Juranagelfluh",,"255,235,190",,"15200254.15200255.15200300.15200302.15200396"
15200397,"vlit500",,,,,,,,"Aargauer Juranagelfluh",,"255,235,190",,"15200254.15200255.15200300.15200302.15200397"
15200398,"vlit500",,,,,,,,"Randen-Juranagelfluh",,"255,235,190",,"15200254.15200255.15200300.15200302.15200398"
15200510,"vlit500",,,,,,,,"«Juranagelfluh-Mergel»",,"255,235,190",,"15200254.15200255.15200300.15200302.15200398.15200510"
15200572,"vlit500",,,,,,,,"Les-Bayards-Juranagelfluh",,"245,235,180",,"15200254.15200255.15200300.15200302.15200572"
15200303,"vlit500",,,,,,,,"«Oehningien des Juragebirges»",,"255,235,190",,"15200254.15200255.15200300.15200303"
15200304,"vlit500",,,,,,,,"Combe-Girard-Bentonit",,"240,220,220",,"15200254.15200255.15200300.15200303.15200304"
15200305,"vlit500",,,,,,,,"Vermes-Süsswasserkalk",,"255,235,190",,"15200254.15200255.15200300.15200305"
15200306,"vlit500",,,,,,,,"Le-Locle-Gompholit",,"245,235,180",,"15200254.15200255.15200300.15200306"
15200511,"vlit500",,,,,,,,"Golat-Süsswasserkalk",,"255,235,190",,"15200254.15200255.15200300.15200511"
15200562,"vlit500",,,,,,,,"Mittlere Juranagelfluh",,"245,235,180",,"15200254.15200255.15200300.15200562"
15200565,"vlit500",,,,,,,,"Heliciden-Mergel",,"245,235,180",,"15200254.15200255.15200300.15200565"
15200589,"vlit500",,,,,,,,"USM-III bis OSM-I",,"245,235,180",,"15200254.15200255.15200589"
15200261,"vlit500",,,,,,,,"Schüpferegg-Nagelfluh",,"245,235,180",,"15200254.15200255.15200589.15200261"
15200496,"vlit500",,,,,,,,"Gabelspitz-Schichten",,"245,235,180",,"15200254.15200255.15200589.15200261.15200496"
15200497,"vlit500",,,,,,,,"Schallenberg-Member",,"245,235,180",,"15200254.15200255.15200589.15200261.15200497"
15200498,"vlit500",,,,,,,,"Seli-Nagelfluh",,"245,235,180",,"15200254.15200255.15200589.15200261.15200498"
15200413,"vlit500",,,,,,,,"Kirchberg-Formation",,"245,235,180",,"15200254.15200255.15200589.15200413"
15200414,"vlit500",,,,,,,,"Grimmelfingen-Formation",,"245,235,180",,"15200254.15200255.15200589.15200414"
15200563,"vlit500",,,,,,,,"Albstein",,"245,235,180",,"15200254.15200255.15200589.15200563"
15200564,"vlit500",,,,,,,,"Graupensand",,"245,235,180",,"15200254.15200255.15200589.15200564"
15200595,"vlit500",,,,,,,,"Undifferenzierte Subgruppe der OSM",,"255,230,180",,"15200254.15200255.15200595"
15200257,"vlit500",,,,,,,,"Pfänder-Schichten",,"255,230,180",,"15200254.15200255.15200595.15200257"
15200258,"vlit500",,,,,,,,"Napf-Formation",,"255,230,180",,"15200254.15200255.15200595.15200258"
15200260,"vlit500",,,,,,,,"Eimätteli-Member",,"255,230,180",,"15200254.15200255.15200595.15200258.15200260"
15200259,"vlit500",,,,,,,,"Blapbach-Kohlflöz",,"120,100,80",,"15200254.15200255.15200595.15200258.15200260.15200259"
15200583,"vlit500",,,,,,,,"Bodensee-Nagelfluh",,"255,230,180",,"15200254.15200255.15200595.15200583"
15200256,"vlit500",,,,,,,,"Tannenberg-Schichten",,"255,230,180",,"15200254.15200255.15200595.15200583.15200256"
15200495,"vlit500",,,,,,,,"Tannenwald-Schichten",,"255,230,180",,"15200254.15200255.15200595.15200583.15200495"
15200307,"vlit500",,,,,,,,"Obere Meeresmolasse (OMM)",,"210,205,145",,"15200254.15200307"
15200308,"vlit500",,,,,,,,"OMM-II",,"225,210,145",,"15200254.15200307.15200308"
15200309,"vlit500",,,,,,,,"St-Gallen-Formation",,"225,210,145",,"15200254.15200307.15200308.15200309"
15200310,"vlit500",,,,,,,,"Staffelbach-Grobsandstein",,"225,210,145",,"15200254.15200307.15200308.15200309.15200310"
15200409,"vlit500",,,,,,,,"Freudenberg-Nagelfluh",,"225,210,145",,"15200254.15200307.15200308.15200309.15200409"
15200410,"vlit500",,,,,,,,"Goldbrunnen-Schichten",,"225,210,145",,"15200254.15200307.15200308.15200309.15200410"
15200411,"vlit500",,,,,,,,"Dreilinden-Nagelfluh",,"225,210,145",,"15200254.15200307.15200308.15200309.15200411"
15200412,"vlit500",,,,,,,,"Obere Grenznagelfluh",,"225,210,145",,"15200254.15200307.15200308.15200309.15200412"
15200431,"vlit500",,,,,,,,"Limnischer Horizont (OMM-II)",,"225,210,145",,"15200254.15200307.15200308.15200309.15200431"
15200432,"vlit500",,,,,,,,"Quarzitnagelfluh (der St.-Gallen-Fm.)",,"225,210,145",,"15200254.15200307.15200308.15200309.15200432"
15200557,"vlit500",,,,,,,,"Zone der Schiefermergel (der St.-Gallen-Fm.)",,"225,210,145",,"15200254.15200307.15200308.15200309.15200557"
15200389,"vlit500",,,,,,,,"«Geröllsande» (OMM-II)",,"225,210,145",,"15200254.15200307.15200308.15200389"
15200390,"vlit500",,,,,,,,"«Polygene Nagelfluh» (OMM-II)",,"225,210,145",,"15200254.15200307.15200308.15200390"
15200399,"vlit500",,,,,,,,"Jensberg-Schichten",,"225,210,145",,"15200254.15200307.15200308.15200399"
15200400,"vlit500",,,,,,,,"Rebhubel-Schichten",,"225,210,145",,"15200254.15200307.15200308.15200399.15200400"
15200401,"vlit500",,,,,,,,"Niedermatt-Schichten",,"225,210,145",,"15200254.15200307.15200308.15200401"
15200402,"vlit500",,,,,,,,"Belpberg-Schichten",,"225,210,145",,"15200254.15200307.15200308.15200402"
15200404,"vlit500",,,,,,,,"Sädel-Kalknagelfluh",,"225,210,145",,"15200254.15200307.15200308.15200402.15200404"
15200405,"vlit500",,,,,,,,"Utzigen-Muschelsandstein",,"225,210,145",,"15200254.15200307.15200308.15200402.15200405"
15200406,"vlit500",,,,,,,,"Ulmiz-Quarzitnagelfluh",,"225,210,145",,"15200254.15200307.15200308.15200402.15200406"
15200407,"vlit500",,,,,,,,"Bütschelbach-Nagelfluh",,"225,210,145",,"15200254.15200307.15200308.15200402.15200407"
15200512,"vlit500",,,,,,,,"Petrefaktenlager",,"225,210,145",,"15200254.15200307.15200308.15200402.15200512"
15200408,"vlit500",,,,,,,,"Kalchstätten-Formation",,"225,210,145",,"15200254.15200307.15200308.15200408"
15200403,"vlit500",,,,,,,,"Pfadflüe-Nagelfluh",,"225,210,145",,"15200254.15200307.15200308.15200408.15200403"
15200311,"vlit500",,,,,,,,"OMM-I",,"205,210,140",,"15200254.15200307.15200311"
15200312,"vlit500",,,,,,,,"Luzern-Formation",,"205,210,140",,"15200254.15200307.15200311.15200312"
15200313,"vlit500",,,,,,,,"Safenwil-Muschelsandstein",,"205,210,140",,"15200254.15200307.15200311.15200312.15200313"
15200433,"vlit500",,,,,,,,"Basiskonglomerat (der Luzern-Fm.)",,"205,210,140",,"15200254.15200307.15200311.15200312.15200433"
15200619,"vlit500",,,,,,,,"Limnischer Horizont (OMM-I)",,"205,210,140",,"15200254.15200307.15200311.15200312.15200619"
15200391,"vlit500",,,,,,,,"«Muschelsandstein» (OMM-I)",,"205,210,140",,"15200254.15200307.15200311.15200391"
15200392,"vlit500",,,,,,,,"«Graue Molasse» (OMM-I)",,"205,210,140",,"15200254.15200307.15200311.15200392"
15200415,"vlit500",,,,,,,,"Chnebelburg-Schichten",,"205,210,140",,"15200254.15200307.15200311.15200415"
15200418,"vlit500",,,,,,,,"Sense-Formation",,"205,210,140",,"15200254.15200307.15200311.15200418"
15200416,"vlit500",,,,,,,,"Meinisberg-Muschelsandstein",,"205,210,140",,"15200254.15200307.15200311.15200418.15200416"
15200417,"vlit500",,,,,,,,"Brüttelen-Muschelnagelfluh",,"205,210,140",,"15200254.15200307.15200311.15200418.15200417"
15200419,"vlit500",,,,,,,,"Montécu-Schichten",,"205,210,140",,"15200254.15200307.15200311.15200418.15200419"
15200420,"vlit500",,,,,,,,"Molière-Muschelsandstein",,"205,210,140",,"15200254.15200307.15200311.15200418.15200420"
15200421,"vlit500",,,,,,,,"Scherli-Quarzitnagelfluh",,"205,210,140",,"15200254.15200307.15200311.15200418.15200421"
15200567,"vlit500",,,,,,,,"OMM-J",,"210,205,145",,"15200254.15200307.15200567"
15200568,"vlit500",,,,,,,,"Tenniken-Muschelagglomerat",,"210,205,145",,"15200254.15200307.15200567.15200568"
15200569,"vlit500",,,,,,,,"Turritellen-Kalk",,"210,205,145",,"15200254.15200307.15200567.15200569"
15200570,"vlit500",,,,,,,,"Randen-Grobkalk",,"210,205,145",,"15200254.15200307.15200567.15200570"
15200571,"vlit500",,,,,,,,"Péry-Geröllsande",,"210,205,145",,"15200254.15200307.15200567.15200571"
15200314,"vlit500",,,,,,,,"Untere Süsswassermolasse (USM)",,"220,200,180",,"15200254.15200314"
15200326,"vlit500",,,,,,,,"USM-III",,"230,220,210",,"15200254.15200314.15200326"
15200327,"vlit500",,,,,,,,"Sommersberg-Nagelfluh",,"230,220,210",,"15200254.15200314.15200326.15200327"
15200328,"vlit500",,,,,,,,"Brendenbach-Mergel",,"230,220,210",,"15200254.15200314.15200326.15200328"
15200329,"vlit500",,,,,,,,"USM-II",,"240,210,200",,"15200254.15200314.15200329"
15200315,"vlit500",,,,,,,,"Höhronen-Nagelfluh",,"240,210,200",,"15200254.15200314.15200329.15200315"
15200316,"vlit500",,,,,,,,"Kronberg-Nagelfluh",,"240,210,200",,"15200254.15200314.15200329.15200316"
15200522,"vlit500",,,,,,,,"Pfingstboden-Member",,"240,210,200",,"15200254.15200314.15200329.15200316.15200522"
15200523,"vlit500",,,,,,,,"Hochfläschli-Member",,"240,210,200",,"15200254.15200314.15200329.15200316.15200523"
15200524,"vlit500",,,,,,,,"Enntebühl-Member",,"240,210,200",,"15200254.15200314.15200329.15200316.15200524"
15200525,"vlit500",,,,,,,,"Hochalp-Member",,"240,210,200",,"15200254.15200314.15200329.15200316.15200525"
15200526,"vlit500",,,,,,,,"Krummenau-Member",,"240,210,200",,"15200254.15200314.15200329.15200316.15200526"
15200330,"vlit500",,,,,,,,"Formation der Granitischen Molasse",,"240,210,200",,"15200254.15200314.15200329.15200330"
15200331,"vlit500",,,,,,,,"«Oberaquitane Mergelzone»",,"240,210,200",,"15200254.15200314.15200329.15200330.15200331"
15200513,"vlit500",,,,,,,,"Hombach-Member",,"240,210,200",,"15200254.15200314.15200329.15200330.15200513"
15200514,"vlit500",,,,,,,,"Homberg-Member",,"240,210,200",,"15200254.15200314.15200329.15200330.15200514"
15200558,"vlit500",,,,,,,,"Marbach-Member",,"240,210,200",,"15200254.15200314.15200329.15200330.15200558"
15200332,"vlit500",,,,,,,,"Molasse Grise de Lausanne",,"240,210,200",,"15200254.15200314.15200329.15200332"
15200333,"vlit500",,,,,,,,"Bois-Genoud-Bentonit",,"240,220,220",,"15200254.15200314.15200329.15200332.15200333"
15200334,"vlit500",,,,,,,,"Cuarny-Sandstein",,"240,210,200",,"15200254.15200314.15200329.15200332.15200334"
15200425,"vlit500",,,,,,,,"Gümmenen-Formation",,"240,210,200",,"15200254.15200314.15200329.15200425"
15200429,"vlit500",,,,,,,,"Obere Bunte Molasse (USM-II)",,"240,210,200",,"15200254.15200314.15200329.15200429"
15200515,"vlit500",,,,,,,,"Gäbris-Nagelfluh",,"240,210,200",,"15200254.15200314.15200329.15200515"
15200516,"vlit500",,,,,,,,"Gstaldenbach-Member",,"240,210,200",,"15200254.15200314.15200329.15200515.15200516"
15200517,"vlit500",,,,,,,,"Heiden-Member",,"240,210,200",,"15200254.15200314.15200329.15200515.15200517"
15200518,"vlit500",,,,,,,,"Klusbach-Member",,"240,210,200",,"15200254.15200314.15200329.15200515.15200518"
15200519,"vlit500",,,,,,,,"Eggen-Member",,"240,210,200",,"15200254.15200314.15200329.15200515.15200519"
15200520,"vlit500",,,,,,,,"Sulzbach-Member",,"240,210,200",,"15200254.15200314.15200329.15200515.15200520"
15200521,"vlit500",,,,,,,,"Sulzbach-Nagelfluh",,"240,210,200",,"15200254.15200314.15200329.15200515.15200520.15200521"
15200317,"vlit500",,,,,,,,"Cornalle-Sandstein",,"180,140,95",,"15200254.15200314.15200335.15200317"
15200318,"vlit500",,,,,,,,"Mont-Pèlerin-Nagelfluh",,"180,140,95",,"15200254.15200314.15200335.15200318"
15200319,"vlit500",,,,,,,,"Speer-Formation",,"180,140,95",,"15200254.15200314.15200335.15200319"
15200538,"vlit500",,,,,,,,"Leuenfall-Nagelfluh",,"180,140,95",,"15200254.15200314.15200335.15200319.15200538"
15200539,"vlit500",,,,,,,,"Wintersberg-Member",,"180,140,95",,"15200254.15200314.15200335.15200319.15200539"
15200540,"vlit500",,,,,,,,"Ebnat-Sandstein",,"180,140,95",,"15200254.15200314.15200335.15200319.15200540"
15200541,"vlit500",,,,,,,,"Rütliberg-Kalksandstein",,"180,140,95",,"15200254.15200314.15200335.15200319.15200540.15200541"
15200320,"vlit500",,,,,,,,"Thun-Formation",,"200,160,115",,"15200254.15200314.15200335.15200320"
15200321,"vlit500",,,,,,,,"Gunten-Nagelfluh",,"200,160,115",,"15200254.15200314.15200335.15200320.15200321"
15200531,"vlit500",,,,,,,,"Hünibach-Nagelfluh",,"200,160,115",,"15200254.15200314.15200335.15200320.15200531"
15200322,"vlit500",,,,,,,,"Rigi-Formation",,"180,140,95",,"15200254.15200314.15200335.15200322"
15200324,"vlit500",,,,,,,,"Bunte Rigi-Nagelfluh",,"180,140,95",,"15200254.15200314.15200335.15200322.15200324"
15200542,"vlit500",,,,,,,,"Pfiffegg-Nagelfluh",,"180,140,95",,"15200254.15200314.15200335.15200322.15200324.15200542"
15200325,"vlit500",,,,,,,,"Radiolaritreiche Nagelfluh",,"180,140,95",,"15200254.15200314.15200335.15200322.15200325"
15200323,"vlit500",,,,,,,,"Scheidegg-Nagelfluh",,"180,140,95",,"15200254.15200314.15200335.15200323"
15200336,"vlit500",,,,,,,,"Grès et Marnes Gris à Gypse",,"200,160,115",,"15200254.15200314.15200335.15200336"
15200551,"vlit500",,,,,,,,"Tillerée-Schichten",,"200,160,115",,"15200254.15200314.15200335.15200336.15200551"
15200552,"vlit500",,,,,,,,"Serie der Süsswasserkalke und Dolomite",,"200,160,115",,"15200254.15200314.15200335.15200336.15200552"
15200337,"vlit500",,,,,,,,"Molasse à Charbon",,"150,125,100",,"15200254.15200314.15200335.15200337"
15200338,"vlit500",,,,,,,,"Molasse Rouge",,"200,150,100",,"15200254.15200314.15200335.15200338"
15200545,"vlit500",,,,,,,,"Molasse Rouge des Jurasüdfusses",,"200,150,100",,"15200254.15200314.15200335.15200338.15200545"
15200422,"vlit500",,,,,,,,"Grilly-Süsswasserkalk",,"240,215,70",,"15200254.15200314.15200335.15200338.15200545.15200422"
15200423,"vlit500",,,,,,,,"Orbe-Süsswasserkalk",,"240,215,70",,"15200254.15200314.15200335.15200338.15200545.15200423"
15200546,"vlit500",,,,,,,,"Mathod-Sandstein",,"200,150,100",,"15200254.15200314.15200335.15200338.15200545.15200546"
15200547,"vlit500",,,,,,,,"Goumoëns-Sandstein",,"200,150,100",,"15200254.15200314.15200335.15200338.15200545.15200547"
15200548,"vlit500",,,,,,,,"Molasse Rouge von Vevey",,"200,150,100",,"15200254.15200314.15200335.15200338.15200548"
15200549,"vlit500",,,,,,,,"Molasse Rouge von Monthey",,"200,150,100",,"15200254.15200314.15200335.15200338.15200549"
15200560,"vlit500",,,,,,,,"Untere Bunte Molasse des Jurasüdfusses",,"200,150,100",,"15200254.15200314.15200335.15200338.15200560"
15200339,"vlit500",,,,,,,,"Heuboden-Äschitannen-Nagelfluh",,"200,160,115",,"15200254.15200314.15200335.15200339"
15200340,"vlit500",,,,,,,,"Beichlen-Formation",,"200,150,100",,"15200254.15200314.15200335.15200340"
15200335,"vlit500",,,,,,,,"USM-I",,"200,160,115",,"15200254.15200314.15200335.15200429"
15200528,"vlit500",,,,,,,,"Gitzischöpf-Nagelfluh",,"200,160,115",,"15200254.15200314.15200335.15200528"
15200529,"vlit500",,,,,,,,"Honegg-Mergel",,"200,160,115",,"15200254.15200314.15200335.15200529"
15200530,"vlit500",,,,,,,,"Kaltbach-Nagelfluh",,"200,160,115",,"15200254.15200314.15200335.15200529.15200530"
15200532,"vlit500",,,,,,,,"Losenegg-Formation",,"200,160,115",,"15200254.15200314.15200335.15200532"
15200533,"vlit500",,,,,,,,"Schwändibach-Naglelfuh",,"200,160,115",,"15200254.15200314.15200335.15200533"
15200534,"vlit500",,,,,,,,"Uerscheli-Formation",,"200,160,115",,"15200254.15200314.15200335.15200534"
15200535,"vlit500",,,,,,,,"Bumbach-Nagelfluh",,"200,160,115",,"15200254.15200314.15200335.15200534.15200535"
15200536,"vlit500",,,,,,,,"Kalksandstein-Serie",,"200,170,130",,"15200254.15200314.15200335.15200536"
15200537,"vlit500",,,,,,,,"Gérignoz-Formation",,"180,140,95",,"15200254.15200314.15200335.15200537"
15200543,"vlit500",,,,,,,,"Weggis-Formation",,"180,140,95",,"15200254.15200314.15200335.15200543"
15200544,"vlit500",,,,,,,,"Kännelegg-Nagelfluh",,"180,140,95",,"15200254.15200314.15200335.15200543.15200544"
15200550,"vlit500",,,,,,,,"Grindelegg-Formation",,"200,150,100",,"15200254.15200314.15200335.15200550"
15200341,"vlit500",,,,,,,,"USM-J",,"250,230,140",,"15200254.15200314.15200341"
15200342,"vlit500",,,,,,,,"La-Chaux-Süsswasserkalk",,"250,215,200",,"15200254.15200314.15200341.15200342"
15200343,"vlit500",,,,,,,,"Elsässer Molasse s.s.",,"250,240,130",,"15200254.15200314.15200341.15200343"
15200344,"vlit500",,,,,,,,"Delémont-Süsswasserkalk",,"250,250,175",,"15200254.15200314.15200341.15200343.15200344"
15200345,"vlit500",,,,,,,,"Matzendorf-Süsswasserkalk",,"250,240,130",,"15200254.15200314.15200341.15200343.15200345"
15200346,"vlit500",,,,,,,,"Oensingen-Süsswasserkalk",,"250,240,130",,"15200254.15200314.15200341.15200343.15200346"
15200378,"vlit500",,,,,,,,"Tüllingen-Süsswasserkalk",,"250,250,175",,"15200254.15200314.15200341.15200343.15200378"
15200618,"vlit500",,,,,,,,"Mümliswil-Süsswasserkalk",,"250,240,130",,"15200254.15200314.15200341.15200343.15200618"
15200347,"vlit500",,,,,,,,"Aarwangen-Molasse",,"225,200,100",,"15200254.15200314.15200341.15200347"
